SMIELS,name
COc1cccc(-c2cnc(N)c(C(=O)NC(C)(C)C3CCNCC3)n2)c1,ZINC000084596626
Cc1n[nH]c(C)c1-c1cccc(-c2cnc(N)c(C(=O)NC3[C@H]4CC5C[C@H]3CC(O)(C5)C4)n2)c1,ZINC000101503485
CS(=O)(=O)Nc1cccc(-c2cnc(N)c(C(=O)NC3[C@H]4CC5C[C@H]3CC(O)(C5)C4)n2)c1,ZINC000101503434
Nc1ncc(-c2cccc(OC(F)(F)F)c2)nc1C(=O)NC1[C@H]2CC3C[C@H]1CC(O)(C3)C2,ZINC000101503406
CC(C)(NC(=O)c1nc(-c2cccc(S(N)(=O)=O)c2)cnc1N)C1CCNCC1,ZINC000084596625
CS(=O)(=O)Nc1cccc(-c2cnc(N)c(C(=O)NCCC3CCNCC3)n2)c1,ZINC000084620072
Cc1cccc(-c2[nH]c(CNc3ccccc3F)nc2-c2ccc3ncnn3c2)n1,ZINC000113391423
OCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,ZINC000100015335
CSc1ccccc1Nc1nc(N2CCN(C3CCNCC3)CC2)nc2c(NCC3CC3)ncnc12,ZINC000084654286
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1,ZINC000016697102
Cc1cn(-c2cc(C(=O)Nc3cccc(Nc4ccc5c(c4)NC(=O)/C5=C\c4ccc[nH]4)c3)cc(C(F)(F)F)c2)cn1,ZINC000084671513
Cc1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2F)cc1Nc1ccc2c(c1)NC(=O)/C2=C\c1ccc[nH]1,ZINC000084706784
CN1CCN(c2cc(C(=O)Nc3cccc(Nc4ccc5c(c4)NC(=O)/C5=C\c4ccc[nH]4)c3)cc(C(F)(F)F)c2)CC1,ZINC000084714716
O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,ZINC000058638454
CN(C)CCCNC(=O)c1ccc2c(c1)C[C@H](c1nc3ccc(-c4cn[nH]c4)cc3s1)CO2,ZINC000049032266
CN(C)CCCNC(=O)c1ccc2c(c1)C[C@@H](c1nc3ccc(-c4cn[nH]c4)cc3s1)CO2,ZINC000049032268
CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1,ZINC000064539506
CN1CCC(N(C)C(=O)c2cccc(Nc3nc4nc5c(cnn35)CCCCC(=O)Nc3cccc(c3)N4)c2)CC1,ZINC000029129157
CN(C)[C@@H]1CCN(C(=O)c2cccc(Nc3nc4nc5c(cnn35)CCCCC(=O)Nc3cccc(c3)N4)c2)C1,ZINC000029129415
CN(C)[C@H]1CCN(C(=O)c2cccc(Nc3nc4nc5c(cnn35)CCCCC(=O)Nc3cccc(c3)N4)c2)C1,ZINC000029129417
CN1CC[C@@H](N(C)C(=O)c2cccc(Nc3nc4nc5c(cnn35)CCCCC(=O)Nc3cccc(c3)N4)c2)C1,ZINC000029129254
CN1CC[C@H](N(C)C(=O)c2cccc(Nc3nc4nc5c(cnn35)CCCCC(=O)Nc3cccc(c3)N4)c2)C1,ZINC000029129256
CCN(CC)[C@@H]1CCN(C(=O)c2cccc(Nc3nc4nc5c(cnn35)CCCCC(=O)Nc3cccc(c3)N4)c2)C1,ZINC000029129258
CCN(CC)[C@H]1CCN(C(=O)c2cccc(Nc3nc4nc5c(cnn35)CCCCC(=O)Nc3cccc(c3)N4)c2)C1,ZINC000029129260
CN(C)CCNC(=O)c1cccc(Nc2nc3nc4c(cnn24)CCCCC(=O)Nc2cccc(c2)N3)c1,ZINC000029129413
CN1CC(NC(=O)c2cccc(Nc3nc4nc5c(cnn35)CCCCC(=O)Nc3cccc(c3)N4)c2)C1,ZINC000029129327
COc1cc2[nH]ncc2cc1Nc1ncnc2[nH]c3c(c12)C[C@@H](C(=O)NCc1ccccc1)CC3,ZINC000207207061
COc1cc2[nH]ncc2cc1Nc1ncnc2[nH]c3c(c12)C[C@H](C(=O)NCc1ccccc1)CC3,ZINC000207207107
CC(C)Oc1cc2[nH]ncc2cc1Nc1ncnc2[nH]c3c(c12)CCCC3,ZINC000142093849
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,ZINC000019632614
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,ZINC000000116937
Clc1ccc(Nc2ncnc3[nH]ncc23)cc1,ZINC000004877108
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,ZINC000000600292
Fc1cccc(Nc2ncnc3[nH]ncc23)c1,ZINC000013687055
c1ccc2cc(Nc3ncnc4[nH]ncc34)ccc2c1,ZINC000004844400
Brc1ccc(Nc2ncnc3[nH]ncc23)cc1,ZINC000013685546
CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,ZINC000021289032
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,ZINC000003976838
COCCn1cc(C)cc(Nc2ncnc3sc(C(=O)O)c(C)c23)c1=O,ZINC000299866980
COCCn1cc(C)cc(Nc2ncnc3sc(C(N)=O)c(C)c23)c1=O,ZINC000299863664
Brc1cccc(Nc2ncnc3cc4nc[nH]c4cc23)c1,ZINC000003815028
COCCCNC(=O)c1sc2ncnc(Nc3cc(C)cn(C)c3=O)c2c1C,ZINC000299865255
COCCNC(=O)c1sc2ncnc(Nc3cc(C)cn(C)c3=O)c2c1C,ZINC000299868074
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1,ZINC000095580356
NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,ZINC000045335993
Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCOCC3)cc(N3CCN(C)CC3)c2)n1,ZINC000071316394
Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(CN3CCOCC3)cc(N3CCOCC3)c2)n1,ZINC000071330036
Cc1cc(-c2c(Cl)cccc2Cl)cc2nnc(Nc3ccc(OCC[N+]4([O-])CCCC4)cc3)nc12,ZINC000029042369
COCCOc1cc(Nc2nccc(N(C)c3cc(CO)ccc3C)n2)cc(N2CCOCC2)c1,ZINC000071329927
COc1ccc(C)c(N(C)c2ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n2)c1,ZINC000071319314
COCCN(c1ccnc(Nc2cc(N3CCOCC3)cc(N3CCOCC3)c2)n1)c1cc(CO)ccc1C,ZINC000071330736
NC(=O)c1c(N)n(-c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2F)c2nc3ccccc3nc12,ZINC000299827763
NC(=O)c1c(N)n(-c2cccc(NC(=O)c3cccc(C(F)(F)F)c3)c2)c2nc3ccccc3nc12,ZINC000299832161
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1ncccc1-c1ccncn1,ZINC000014957195
COc1ccc(Br)cc1NC(=O)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,ZINC000049775423
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cc(C(F)(F)F)ccc1O,ZINC000049021925
COc1ccc(C(F)(F)F)cc1NC(=O)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,ZINC000049775483
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cc(C(F)(F)F)ccc1F,ZINC000049774656
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,ZINC000036414544
Cc1cccc(C)c1-c1cc(C)c2nc(Nc3ccc(OCCN4CCCC4)cc3)nnc2c1,ZINC000034643022
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cc(C(F)(F)F)ccc1Cl,ZINC000049775015
